CAFE,UBICACION,TOSTADOR,PUNTAJE,Tamaño Local,¿ Abre los domingos ?,LAT,LONG
HERALDO,Alberti 2965,Fuego,"9,20",Grande,SI,"-38,0048180","-57,5562820"
Trecedoce,Neuqen casi Alberti,Bunker,"9,20",Chico,NO,"-37,9958000","-57,5741000"
Kersen Garay,Garay 1755,Batutta,"8,70",Grande,NO,"-38,0124440","-57,5456060"
Kersen Plaza Mitre,Hipólito Yrigoyen 2291,Batutta,"8,5",Grande,NO,"-38,0027050","-57,5538190"
No coffee No Prana,14 de Julio 2479,Coffee Town,"8,50",Grande,SI,"-38,0000550","-57,5632090"
Green Mug,"Castelli 1281, ",Grano Propio,"8,50",Grande,SI,"-38,0155710","-57,5414520"
Kersen Playa grande,Alem 3407,Batutta,"8,40",Grande,SI,"-38,0252000","-57,5341780"
Planta Baja ,Rawson 1457,Salvaje,"8,30",Mediano,NO,"-38,0128430","-57,5416920"
Chica Coffee ,España 2234,Chica Coffee,"8,00",Grande,NO,"-37,9992610","-57,5594490"
Suarez,Bolivar 2903,Puerto Blest,"7,80",Mediano,NO,"-38,0007280","-57,5524300"
Niño Lobo,Roca 1244,Cabrales,"7,80",Grande,SI,"-38,0192290","-57,5438730"
Sea & Coffee,Avellaneda 1432,Coffee Town,"7,80",Grande,SI,"-38,0165900","-57,5443930"
Baya Negra,Olavarría 3268,Coffee Town,"7,80",Grande,SI,"-38,0181040","-57,5447850"
Nat,Castelli esquina Mitre,Penguin,"7,8",Grande,SI,"-38,0078610","-57,5567630"
TWINS COFFEE,Alberti 3064,Jaus,"7,80",Chico,NO,"-38,0044200","-57,5574380"
Dimero,Guemes 2483,Penguin,"7,70",Grande,NO,"-38,0123430","-57,5391630"
Crumbre Bakery ,San Juan 540,Fuego,"7,70",Chico,SI,"-37,9818810","-57,5552750"
Costiera,Constitucion 4554,Borana,"7,60",Mediano,SI,"-37,9680200","-57,5493030"
Dinette,Alvarado 1702,Borana,"7,50",Mediano,SI,"-38,0144350","-57,5465190"
Gato,Avenida Jara 54,Borana,"7,50",Mediano,NO,"-37,9738630","-57,5601960"
A.T.C ,Avenida Luro 2599,Coffee Town,"7,50",Mediano,SI,"-37,9964080","-57,5455300"
A.T.C,Rawson 2024,Coffee Town,"7,50",Grande,SI,"-38,0075000","-57,5472470"
Merci Coffee dealer,San Lorenzo 1341 ,Puerto Blest,"7,50",Grande,SI,"-38,0176920","-57,5439330"
Flor de Cerezo,Patricio Peralta Ramos 2551,Salvaje,"7,40",Chico,SI,"-38,0071920","-57,5411630"
Jacinto,Salta 1031,Chica Coffee,"7,3",Mediano,NO,"-37,9902820","-57,5498190"
Oso Blanco,Alberti 2746,Penguin,"7,20",Grande,NO,"-38,0060520","-57,5543060"
Perezoso,Cordoba 4202,Cabrales,"7,00",Mediano,NO,"-38,0196550","-57,5630960"
Little Ofelia ,Matheu 334,Cabrales,"7,00",Mediano,SI,"-38,0276560","-57,5379230"
Canuto ,Jujuy 2264,Batutta,"7,00",Grande,NO,"-37,9987200","-57,5581900"
LIRIEN,SALTA Y SAN LORENZO ,Borana,"7,00",Grande,SI,"-38,0076240","-57,563782"
Luys Guemes,Garay 1227 ,Cabrales,"7,00",Grande,SI,"-38,0150600","-57,5403290"
Consti,Avenida Constitucion 5525,Cabrales,"7,00",Grande,SI,"-37,9626550","-57,5589450"
Lola Quintana ,Quintana 241,Cabrales,"7,00",Grande,SI,"-38,0272000","-57,5361280"
Capra,Guemes 3101,Capra ,"7,00",Grande,SI,"-38,0172760","-57,5431940"
Casa Capra,Roca 1480,Capra ,"7,00",Grande,SI,"-38,0180360","-57,5458550"
Folc,San Martin 2927,FCR,"7,00",Grande,SI,"-37,9976940","-57,5500560"
Folc playa Grande,Formosa 262,FCR,"7,00",Grande,SI,"-38,0288890","-57,5377530"
Bai Bai,Calle 0 3069,Fuego,"7,00",Grande,SI,"-38,1736280","-57,6442100"
Luva,Calle 699 La estafeta,No se,"7,00",Grande,SI,"-38,1660760","-57,6364810"
SEA & COFFEE,Alem 3454,Batutta,"7,00",Grande,SI,"-38,0255990","-57,5344470"
Cafecito TCS,Ruta11 km 541,TCS,"7,00",Grande,SI,"-38,1765450","-57,6481900"
Verde Pastel,Alberti y Tucuman ,Batutta,"7,00",Chico,NO,"-38,0095900","-57,5468180"
Mare ,Belgrano 2268,Batutta,"7,00",Chico,NO,"-38,0028030","-57,5448620"
Bless Coffee,Avenida LURO 4450,Batutta,"7,00",Chico,NO,"-37,9892940","-57,5649360"
Drippin Coffee,11 de Septiembre 3058,Batutta,"7,00",Chico,NO,"-37,9931390","-57,5482260"
Urbano Cafe,Falucho 3084,Borana,"7,00",Chico,NO,"-38,0028810","-57,5564290"
Surf coffee,Lamadrid 2459,Cabrales,"7,00",Chico,SI,"-38,0095790","-57,5439910"
Luys,Formosa 297,Cabrales,"7,00",Chico,SI,"-38,0285410","-57,5379110"
FOLC Centro ,Moreno Esquina Santa Fe ,FCR,"7,00",Chico,NO,"-38,0029510","-57,5467660"
Fuerza Madre ,Jujuy 1639,Batutta,"7,00",Chico,NO,"-37,9947690","-57,5548010"
Surf coffee,Avellaneda 1387,Batutta,"7,00",Chico,SI,"-38,0167350","-57,5437140"
Urbano ,Falucho 3048,Batutta,"6,90",Chico,NO,"-38,0029560","-57,5560810"
HELGA , Olavarría  3196,Batutta,"6,50",Chico,SI,"-38,0172210","-57,5443720"
TRE,Rioja 2380,Cabrales,"6,00",Mediano,NO,"-38,0029820","-57,5552260"
Bon-Jus,Colon y Viamonte,Cabrales,"6,00",Grande,SI,"-38,0113350","-57,5354130"
Bonsai coffee club,Guemes 2326,Cabrales,"6,00",Grande,SI,"-38,0111660","-57,5380070"
La casa del Balcon,3 de Febrero 2538,Batutta,"6,00",Grande,SI,"-37,9966030","-57,5436920"
South Shore,Ruta 11 entre calle 0 y calle 441,Grano Propio,"0,00",Mediano,SI,"-38,1074620","-57,5762470"
